Date,cases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,2
2020-02-20,2
2020-02-21,2
2020-02-22,2
2020-02-23,2
2020-02-24,2
2020-02-25,2
2020-02-26,2
2020-02-27,2
2020-02-28,2
2020-02-29,2
2020-03-01,2
2020-03-02,2
2020-03-03,2
2020-03-04,2
2020-03-05,2
2020-03-06,2
2020-03-07,2
2020-03-08,3
2020-03-09,3
2020-03-10,3
2020-03-11,3
2020-03-12,3
2020-03-13,4
2020-03-14,4
2020-03-15,4
2020-03-16,4
2020-03-17,4
2020-03-18,4
2020-03-19,4
2020-03-20,4
2020-03-21,4
2020-03-22,4
2020-03-23,4
2020-03-24,4
2020-03-25,4
2020-03-26,4
2020-03-27,4
2020-03-28,4
2020-03-29,4
2020-03-30,4
2020-03-31,4
2020-04-01,4
2020-04-02,4
2020-04-03,4
2020-04-04,4
2020-04-05,4
2020-04-06,4
2020-04-07,4
2020-04-08,4
2020-04-09,4
2020-04-10,4
2020-04-11,4
2020-04-12,4
2020-04-13,4
2020-04-14,4
2020-04-15,4
2020-04-16,4
2020-04-17,4
2020-04-18,4
2020-04-19,4
2020-04-20,4
2020-04-21,4
2020-04-22,4
2020-04-23,4
2020-04-24,4
2020-04-25,4
2020-04-26,4
2020-04-27,4
2020-04-28,4
2020-04-29,4
2020-04-30,4
2020-05-01,4
2020-05-02,4
2020-05-03,4
2020-05-04,4
2020-05-05,4
2020-05-06,4
2020-05-07,4
2020-05-08,4
2020-05-09,4
2020-05-10,4
2020-05-11,4
2020-05-12,4
2020-05-13,4
2020-05-14,4
2020-05-15,4
2020-05-16,4
2020-05-17,4
2020-05-18,4
2020-05-19,4
2020-05-20,4
2020-05-21,4
2020-05-22,4
2020-05-23,4
2020-05-24,4
2020-05-25,4
2020-05-26,4
2020-05-27,4
2020-05-28,4
2020-05-29,4
2020-05-30,4
2020-05-31,4
2020-06-01,4
2020-06-02,4
2020-06-03,4
2020-06-04,4
2020-06-05,4
2020-06-06,4
2020-06-07,4
2020-06-08,4
2020-06-09,4
2020-06-10,4
2020-06-11,4
2020-06-12,4
2020-06-13,4
2020-06-14,4
2020-06-15,4
2020-06-16,4
2020-06-17,4
2020-06-18,4
2020-06-19,4
2020-06-20,4
2020-06-21,5
2020-06-22,5
2020-06-23,6
2020-06-24,6
2020-06-25,7
2020-06-26,7
2020-06-27,7
2020-06-28,7
2020-06-29,7
2020-06-30,7
2020-07-01,7
2020-07-02,7
2020-07-03,7
2020-07-04,7
2020-07-05,7
2020-07-06,7
2020-07-07,7
2020-07-08,7
2020-07-09,7
2020-07-10,7
2020-07-11,7
2020-07-12,7
2020-07-13,7
2020-07-14,8
2020-07-15,8
2020-07-16,10
2020-07-17,10
2020-07-18,12
2020-07-19,12
2020-07-20,12
2020-07-21,14
2020-07-22,14
2020-07-23,15
2020-07-24,16
2020-07-25,18
2020-07-26,18
2020-07-27,22
2020-07-28,22
2020-07-29,24
2020-07-30,24
2020-07-31,27
2020-08-01,31
2020-08-02,34
2020-08-03,37
2020-08-04,41
2020-08-05,43
2020-08-06,44
2020-08-07,46
2020-08-08,47
2020-08-09,51
2020-08-10,54
2020-08-11,58
2020-08-12,63
2020-08-13,65
2020-08-14,66
2020-08-15,68
2020-08-16,69
2020-08-17,69
2020-08-18,70
2020-08-19,72
2020-08-20,73
